scenario,level,cluster,name,year,metric,value
low,line,c2,sesame_oil,2031,customs_forgone,8578.079999999998
low,line,c2,sesame_oil,2031,tax_revenue,-7888.599230769229
low,line,c2,sesame_oil,2032,volume,660.0
low,line,c2,sesame_oil,2032,gross_output,293040.0
low,line,c2,sesame_oil,2032,value_added,23443.2
low,line,c2,sesame_oil,2032,indirect_va,14417.568
low,line,c2,sesame_oil,2032,induced_va,1709.4326688963215
low,line,c2,sesame_oil,2032,total_va,39570.200668896316
low,line,c2,sesame_oil,2032,household_income,17806.590301003343
low,line,c2,sesame_oil,2032,import_substitution,205128.0
low,line,c2,sesame_oil,2032,exports,87912.0
low,line,c2,sesame_oil,2032,imported_inputs,29304.0
low,line,c2,sesame_oil,2032,forgone_exports,613800.0
low,line,c2,sesame_oil,2032,net_fx,-350064.0
low,line,c2,sesame_oil,2032,jobs,4.8
low,line,c2,sesame_oil,2032,investment,560000.0000000001
low,line,c2,sesame_oil,2032,capital_goods_imports,476000.00000000006
low,line,c2,sesame_oil,2032,tax_gross,989.255016722408
low,line,c2,sesame_oil,2032,customs_forgone,12307.68
low,line,c2,sesame_oil,2032,tax_revenue,-11318.424983277593
low,line,c2,fruit,2028,volume,101.25
low,line,c2,fruit,2028,gross_output,30375.0
low,line,c2,fruit,2028,value_added,5163.75
low,line,c2,fruit,2028,indirect_va,6196.5
low,line,c2,fruit,2028,induced_va,512.9209866220737
low,line,c2,fruit,2028,total_va,11873.170986622074
low,line,c2,fruit,2028,household_income,5342.926943979934
low,line,c2,fruit,2028,import_substitution,4556.25
low,line,c2,fruit,2028,exports,21262.5
low,line,c2,fruit,2028,imported_inputs,4556.25
low,line,c2,fruit,2028,forgone_exports,0.0
low,line,c2,fruit,2028,net_fx,21262.5
low,line,c2,fruit,2028,jobs,3.5999999999999996
low,line,c2,fruit,2028,investment,450000.0
low,line,c2,fruit,2028,capital_goods_imports,382500.0
low,line,c2,fruit,2028,tax_gross,296.82927466555185
low,line,c2,fruit,2028,customs_forgone,273.375
low,line,c2,fruit,2028,tax_revenue,23.45427466555185
low,line,c2,fruit,2029,volume,641.25
low,line,c2,fruit,2029,gross_output,192375.0
low,line,c2,fruit,2029,value_added,32703.750000000004
low,line,c2,fruit,2029,indirect_va,39244.5
low,line,c2,fruit,2029,induced_va,3248.4995819398
low,line,c2,fruit,2029,total_va,75196.7495819398
low,line,c2,fruit,2029,household_income,33838.53731187291
